,train_id,nr_of_stations,duration,scheduled_dep_time_of_day,upper,lower,origin_station_code,destination_station_code,origin,destination
0,11,30,126900,42300,47.892096042633064,-69.64155578613281,SEA,LAX,"Seattle, WA","Los Angeles, CA"
1,14,30,124020,44100,84.0634994506836,-64.79462814331055,LAX,SEA,"Los Angeles, CA","Seattle, WA"
2,19,33,109020,47700,105.77354431152344,-36.381269454956055,NYP,NOL,"New York, NY","New Orleans, LA"
3,20,33,107160,25200,112.58878517150879,-56.34222030639648,NOL,NYP,"New Orleans, LA","New York, NY"
4,21,27,115800,49500,25.17551422119141,-79.2203884124756,CHI,SAS,"Chicago, IL","San Antonio, TX"
5,22,27,111120,25200,81.06729125976562,-59.69832420349121,SAS,CHI,"San Antonio, TX","Chicago, IL"
6,27,6,26700,17100,41.851212501525886,-51.08896732330322,SPK,PDX,"Spokane, WA","Portland, OR"
7,28,6,26880,67500,45.90693986415863,-35.117246627807624,PDX,SPK,"Portland, OR","Spokane, WA"
8,281,15,33300,33600,24.81476306915283,-40.30126762390137,NYP,NFL,"New York, NY","Niagara Falls, NY"
9,283,16,33360,44400,17.34055233001709,-52.39960670471192,NYP,NFL,"New York, NY","Niagara Falls, NY"
10,284,16,32400,21000,2.6237611770629883,-33.5495662689209,NFL,NYP,"Niagara Falls, NY","New York, NY"
11,29,16,63600,54300,63.85136985778809,-39.41493034362793,WAS,CHI,"Washington, DC","Chicago, IL"
12,291,12,19980,51300,0.0,-33.681528091430664,NYP,RUD,"New York, NY","Rutland, VT"
13,3,33,155700,54000,74.76758098602295,-70.07302856445311,CHI,LAX,"Chicago, IL","Los Angeles, CA"
14,30,16,62700,67200,37.89822387695313,-47.521934509277344,CHI,WAS,"Chicago, IL","Washington, DC"
15,300,11,19500,16500,0.0,-30.81669807434082,STL,CHI,"St. Louis, MO","Chicago, IL"
16,301,6,19200,25200,8.309236526489258,-37.67878723144531,CHI,STL,"Chicago, IL","St. Louis, MO"
17,302,11,20400,24000,4.184463024139403,-32.8726863861084,STL,CHI,"St. Louis, MO","Chicago, IL"
18,303,11,20100,33900,8.684592068195343,-38.93219566345215,CHI,STL,"Chicago, IL","St. Louis, MO"
19,304,11,20400,54000,2.57324481010437,-34.57542324066162,STL,CHI,"St. Louis, MO","Chicago, IL"
20,305,11,19800,62100,8.133670330047607,-37.95781326293945,CHI,STL,"Chicago, IL","St. Louis, MO"
21,306,11,20400,63000,6.811718940734862,-30.92143249511719,STL,CHI,"St. Louis, MO","Chicago, IL"
22,307,11,19800,68400,3.3422099947929382,-41.71699905395508,CHI,STL,"Chicago, IL","St. Louis, MO"
23,311,10,20400,33300,13.764656066894533,-17.771395266056057,STL,KCY,"St. Louis, MO","Kansas City, MO"
24,313,10,20400,57600,7.92672061920166,-18.46039438247681,STL,KCY,"St. Louis, MO","Kansas City, MO"
25,314,10,20400,29700,14.900607585906982,-24.31943941116333,KCY,STL,"Kansas City, MO","St. Louis, MO"
26,316,10,20400,57600,14.59077262878418,-25.86393117904663,KCY,STL,"Kansas City, MO","St. Louis, MO"
27,330,5,6120,22500,2.9448187351226807,-5.23551082611084,MKE,CHI,"Milwaukee, WI","Chicago, IL"
28,331,5,5340,30300,1.253585934638977,-10.02331256866455,CHI,MKE,"Chicago, IL","Milwaukee, WI"
29,332,5,5340,29100,1.7940773963928225,-10.075796842575071,MKE,CHI,"Milwaukee, WI","Chicago, IL"
30,333,5,5340,37200,0.853515625,-9.904973745346071,CHI,MKE,"Chicago, IL","Milwaukee, WI"
31,334,5,5340,39600,3.552797079086304,-9.02331256866455,MKE,CHI,"Milwaukee, WI","Chicago, IL"
32,335,5,5340,47100,5.015246391296387,-9.03829288482666,CHI,MKE,"Chicago, IL","Milwaukee, WI"
33,336,5,5340,46800,2.1030781269073486,-8.904973745346071,MKE,CHI,"Milwaukee, WI","Chicago, IL"
34,337,5,5340,54900,1.073393702507019,-9.407909393310547,CHI,MKE,"Chicago, IL","Milwaukee, WI"
35,338,5,5340,54000,5.0967503786087045,-9.460139274597168,MKE,CHI,"Milwaukee, WI","Chicago, IL"
36,339,5,5820,61680,0.0,-11.944836616516113,CHI,MKE,"Chicago, IL","Milwaukee, WI"
37,340,5,5340,63900,3.0264911651611333,-7.774570941925049,MKE,CHI,"Milwaukee, WI","Chicago, IL"
38,341,5,5340,72300,1.228281855583191,-10.82762098312378,CHI,MKE,"Chicago, IL","Milwaukee, WI"
39,342,5,5340,70500,2.8263826370239262,-9.875558137893675,MKE,CHI,"Milwaukee, WI","Chicago, IL"
40,350,14,24000,26400,1.6309938430786133,-33.11443424224853,CHI,PNT,"Chicago, IL","Pontiac, MI"
41,351,10,22740,17100,9.093124389648438,-29.52847957611084,PNT,CHI,"Pontiac, MI","Chicago, IL"
42,352,14,23340,44700,20.80239486694336,-37.31525421142578,CHI,PNT,"Chicago, IL","Pontiac, MI"
43,353,14,23760,34800,18.18033790588379,-28.56941318511963,PNT,CHI,"Pontiac, MI","Chicago, IL"
44,354,13,23340,64800,8.188899040222168,-43.10366439819336,CHI,PNT,"Chicago, IL","Pontiac, MI"
45,355,15,23280,59700,1.298421859741211,-36.63621711730957,PNT,CHI,"Pontiac, MI","Chicago, IL"
46,364,11,24480,57600,2.8482456207275386,-20.709421157836914,CHI,PTH,"Chicago, IL","Port Huron, MI"
47,365,11,24300,18000,16.790237426757812,-26.14754867553711,PTH,CHI,"Port Huron, MI","Chicago, IL"
48,370,5,14400,62400,4.671360790729524,-19.298817873001102,CHI,GRR,"Chicago, IL","Grand Rapids, MI"
49,371,5,14280,23700,3.0067546367645264,-21.50940227508545,GRR,CHI,"Grand Rapids, MI","Chicago, IL"
50,380,10,16080,22320,1.42999267578125,-18.804776191711426,QCY,CHI,"Quincy, IL","Chicago, IL"
51,381,10,16080,27300,4.036294937133788,-13.746573090553285,CHI,QCY,"Chicago, IL","Quincy, IL"
52,382,10,16080,63000,0.13315820693969727,-16.093504905700687,QCY,CHI,"Quincy, IL","Chicago, IL"
53,383,10,16080,64500,0.0,-19.297218322753906,CHI,QCY,"Chicago, IL","Quincy, IL"
54,390,11,19800,27000,29.1007022857666,-23.67601776123047,CDL,CHI,"Carbondale, IL","Chicago, IL"
55,391,11,19800,29700,29.83010482788086,-22.37826156616211,CHI,CDL,"Chicago, IL","Carbondale, IL"
56,392,11,19800,58500,35.4174690246582,-12.79227066040039,CDL,CHI,"Carbondale, IL","Chicago, IL"
57,393,11,19800,57900,29.80636787414551,-18.364595413208008,CHI,CDL,"Chicago, IL","Carbondale, IL"
58,4,33,154800,72900,91.65576362609863,-51.12524223327637,LAX,CHI,"Los Angeles, CA","Chicago, IL"
59,42,17,33600,23400,9.610677719116213,-13.806766033172607,PGH,NYP,"Pittsburgh, PA","New York, NY"
60,43,16,33180,35520,20.291114807128906,-28.682650566101074,NYP,PGH,"New York, NY","Pittsburgh, PA"
61,448,7,20700,51900,69.53617858886719,-44.966325759887695,ALB,BOS,"Rensselaer, NY","Boston, MA"
62,449,7,20400,39300,16.512260913848873,-24.522523403167725,BOS,ALB,"Boston, MA","Rensselaer, NY"
63,48,19,72300,77400,27.40641593933105,-36.56206130981445,CHI,NYP,"Chicago, IL","New York, NY"
64,49,19,68400,53100,84.92176818847656,-64.31576919555664,NYP,CHI,"New York, NY","Chicago, IL"
65,5,35,187800,50400,54.90231513977051,-83.91796112060547,CHI,EMY,"Chicago, IL","Emeryville, CA"
66,501,8,12600,34200,16.454491496086117,-20.491209030151367,SEA,PDX,"Seattle, WA","Portland, OR"
67,507,12,23400,58800,30.167468905448914,-24.23010730743408,SEA,EUG,"Seattle, WA","Eugene, OR"
68,508,8,12600,72900,19.055549502372738,-23.601505279541016,PDX,SEA,"Portland, OR","Seattle, WA"
69,509,12,22500,70200,14.493218183517456,-21.852234840393066,SEA,EUG,"Seattle, WA","Eugene, OR"
70,510,7,14400,34800,36.54603409767151,-15.89039134979248,SEA,VAC,"Seattle, WA","Vancouver, BC (Canada)"
71,513,14,29700,31200,26.42079162597656,-27.94117832183838,VAC,PDX,"Vancouver, BC (Canada)","Portland, OR"
72,516,14,28800,60600,35.147254943847656,-22.76919174194336,PDX,VAC,"Portland, OR","Vancouver, BC (Canada)"
73,517,7,15900,71100,23.163013458251953,-21.444193840026852,VAC,SEA,"Vancouver, BC (Canada)","Seattle, WA"
74,52,2,63000,54000,76.9232816696167,-108.5781593322754,SFA,LOR,"Sanford, FL","Lorton, VA"
75,53,2,63000,54000,66.5425968170166,-91.87945556640624,LOR,SFA,"Lorton, VA","Sanford, FL"
76,58,19,69300,49500,29.21183013916016,-40.877898216247566,NOL,CHI,"New Orleans, LA","Chicago, IL"
77,59,19,70320,72000,28.04507732391357,-62.12307500839234,CHI,NOL,"Chicago, IL","New Orleans, LA"
78,6,35,186000,40200,123.3389949798584,-67.21411895751953,EMY,CHI,"Emeryville, CA","Chicago, IL"
79,63,17,44820,22500,10.588847160339355,-34.57462310791016,NYP,TWO,"New York, NY","Toronto, ON (Canada)"
80,64,18,48300,26400,4.691076278686523,-38.80796432495117,TWO,NYP,"Toronto, ON (Canada)","New York, NY"
81,66,29,52800,58800,0.0,-22.99075698852539,NPN,BOS,"Newport News, VA","Boston, MA"
82,67,29,51300,73800,40.985971450805664,-34.188182830810554,BOS,NPN,"Boston, MA","Newport News, VA"
83,68,18,39300,30600,14.908406257629395,-42.94353103637695,MTR,NYP,"Montreal, QC (Canada)","New York, NY"
84,69,18,39300,26100,45.75404930114746,-72.43212699890138,NYP,MTR,"New York, NY","Montreal, QC (Canada)"
85,7,40,166200,51300,8.449613809585571,-70.82251930236815,CHI,SEA,"Chicago, IL","Seattle, WA"
86,73,9,11400,20700,5.637532711029053,-14.64427900314331,RGH,CLT,"Raleigh, NC","Charlotte, NC"
87,74,9,11460,39600,10.376245498657227,-18.27095317840576,CLT,RGH,"Charlotte, NC","Raleigh, NC"
88,79,24,47220,21900,34.052818298339844,-48.160362243652344,NYP,CLT,"New York, NY","Charlotte, NC"
89,8,40,162900,67200,60.201334953308105,-70.60243606567383,SEA,CHI,"Seattle, WA","Chicago, IL"
90,80,24,48900,21600,41.56995964050293,-58.1510238647461,CLT,NYP,"Charlotte, NC","New York, NY"
91,821,7,15240,30300,9.021381855010986,-23.643528938293453,OKC,FTW,"Oklahoma City, OK","Fort Worth, TX"
92,822,7,15240,62700,5.438111066818237,-22.1106481552124,FTW,OKC,"Fort Worth, TX","Oklahoma City, OK"
93,89,20,53280,18900,58.22881698608398,-33.806289672851555,NYP,SAV,"New York, NY","Savannah, GA"
94,90,20,55620,26400,23.33341884613037,-29.65934944152832,SAV,NYP,"Savannah, GA","New York, NY"
95,91,37,111780,36120,78.74723815917969,-50.0462646484375,NYP,MIA,"New York, NY","Miami, FL"
96,92,37,113160,39000,75.01008605957031,-64.55650329589844,MIA,NYP,"Miami, FL","New York, NY"
97,97,32,99600,51300,71.44290256500244,-48.4345874786377,NYP,MIA,"New York, NY","Miami, FL"
98,98,32,96600,26400,73.55541229248047,-68.04869079589844,MIA,NYP,"Miami, FL","New York, NY"
